"","Metabolic_activity","compound","taxonomy.ID"
"3510","Consumption (import)","C00244","Ralstonia pickettii"
"3511","Consumption (import)","C00244","Roseobacter denitrificans"
"3512","Consumption (import)","C00244","Shewanella denitrificans"
"3513","Consumption (import)","C00244","Sulfurimonas denitrificans"
"3514","Consumption (import)","C00244","Thiobacillus denitrificans"
"3515","Consumption (import)","C00244","Wolinella succinogenes"
"3517","Production (export)","C00533","Nitrosococcus halophilus"
"3518","Production (export)","C00533","Nitrosococcus oceani"
"3519","Production (export)","C00533","Nitrosococcus watsonii"
"3520","Production (export)","C00533","Nitrosomonas europaea"
"3521","Production (export)","C00533","Nitrosomonas eutropha"
"3522","Production (export)","C00533","Nitrosopumilus maritimus"
"3523","Production (export)","C00533","Nitrosospira multiformis"
"3524","Consumption (import)","C00088","Nitrobacter hamburgensis"
"3525","Consumption (import)","C00088","Nitrobacter winogradskyi"
"3526","Consumption (import)","C00088","Nitrococcus mobilis"
"3528","Consumption (import)","C00712","Clostridium tetani"
"3530","Consumption (import)","C00712","Corynebacterium diphtheriae"
"3531","Consumption (import)","C00712","Erysipelothrix rhusiopathiae"
"3533","Consumption (import)","C00295","Lacticaseibacillus casei"
"3534","Consumption (import)","C00209","Moorella thermoacetica"
"3535","Consumption (import)","C00209","Oxalobacter formigenes"
"3536","Consumption (import)","C00036","Veillonella parvula"
"3537","Production (export)","C01468","Clostridioides difficile"
"3539","Consumption (import)","C01468","Geobacter metallireducens"
"3541","Consumption (import)","C00249","Syntrophomonas wolfei"
"3542","Production (export)","C00864","Candidatus Baumannia cicadellinicola"
"3543","Consumption (import)","C00864","Brucella abortus"
"3544","Consumption (import)","C00864","Brucella melitensis"
"3545","Consumption (import)","C00864","Brucella suis"
"3546","Consumption (import)","C00864","Clostridium acetobutylicum"
"3547","Consumption (import)","C00864","Enterocloster asparagiformis"
"3548","Consumption (import)","C00864","Intestinibacter bartlettii"
"3549","Consumption (import)","C00864","Clostridium beijerinckii"
"3550","Consumption (import)","C00864","Enterocloster bolteae"
"3551","Consumption (import)","C00864","Clostridium botulinum"
"3552","Consumption (import)","C00864","Clostridium butyricum"
"3553","Consumption (import)","C00864","Clostridium carboxidivorans"
"3554","Consumption (import)","C00864","Ruminiclostridium cellulolyticum"
"3555","Consumption (import)","C00864","Clostridium cellulovorans"
"3557","Consumption (import)","C00864","Clostridioides difficile"
"3558","Consumption (import)","C00864","Hungatella hathewayi"
"3559","Consumption (import)","C00864","Peptacetobacter hiranonis"
"3560","Consumption (import)","C00864","[Clostridium] hylemonae"
"3561","Consumption (import)","C00864","Clostridium kluyveri"
"3562","Consumption (import)","C00864","[Clostridium] leptum"
"3563","Consumption (import)","C00864","Clostridium ljungdahlii"
"3564","Consumption (import)","C00864","[Clostridium] methylpentosum"
"3565","Consumption (import)","C00864","Tyzzerella nexilis"
"3566","Consumption (import)","C00864","Clostridium novyi"
"3567","Consumption (import)","C00864","Ruminiclostridium papyrosolvens"
"3568","Consumption (import)","C00864","Clostridium perfringens"
"3569","Consumption (import)","C00864","Lachnoclostridium phytofermentans"
"3570","Consumption (import)","C00864","Lacrimispora saccharolytica"
"3571","Consumption (import)","C00864","[Clostridium] scindens"
"3572","Consumption (import)","C00864","Clostridium sporogenes"
"3573","Consumption (import)","C00864","Acetoanaerobium sticklandii"
"3574","Consumption (import)","C00864","[Clostridium] symbiosum"
"3575","Consumption (import)","C00864","Clostridium tetani"
"3576","Consumption (import)","C00864","Acetivibrio thermocellus"
"3578","Consumption (import)","C00864","Corynebacterium diphtheriae"
"3579","Consumption (import)","C00864","Lactobacillus acidophilus"
"3580","Consumption (import)","C00864","Lactobacillus amylolyticus"
"3581","Consumption (import)","C00864","Lactobacillus amylovorus"
"3582","Consumption (import)","C00864","Limosilactobacillus antri"
"3583","Consumption (import)","C00864","Levilactobacillus brevis"
"3584","Consumption (import)","C00864","Lentilactobacillus buchneri"
"3585","Consumption (import)","C00864","Lacticaseibacillus casei"
"3586","Consumption (import)","C00864","Limosilactobacillus coleohominis"
"3587","Consumption (import)","C00864","Lactobacillus crispatus"
"3588","Consumption (import)","C00864","Lactobacillus delbrueckii"
"3589","Consumption (import)","C00864","Limosilactobacillus fermentum"
"3590","Consumption (import)","C00864","Lactobacillus gasseri"
"3591","Consumption (import)","C00864","Lactobacillus helveticus"
"3592","Consumption (import)","C00864","Lentilactobacillus hilgardii"
"3593","Consumption (import)","C00864","Lactobacillus iners"
"3594","Consumption (import)","C00864","Lactobacillus jensenii"
"3595","Consumption (import)","C00864","Lactobacillus johnsonii"
"3596","Consumption (import)","C00864","Limosilactobacillus oris"
"3597","Consumption (import)","C00864","Lacticaseibacillus paracasei"
"3598","Consumption (import)","C00864","Lactiplantibacillus plantarum"
"3599","Consumption (import)","C00864","Limosilactobacillus reuteri"
"3600","Consumption (import)","C00864","Lacticaseibacillus rhamnosus"
"3601","Consumption (import)","C00864","Ligilactobacillus ruminis"
"3602","Consumption (import)","C00864","Latilactobacillus sakei"
"3603","Consumption (import)","C00864","Ligilactobacillus salivarius"
"3604","Consumption (import)","C00864","Lactobacillus ultunensis"
"3605","Consumption (import)","C00864","Limosilactobacillus vaginalis"
"3606","Consumption (import)","C00864","Lactococcus lactis"
"3607","Consumption (import)","C00864","Leuconostoc mesenteroides"
"3608","Consumption (import)","C00864","Mycoplasmopsis agalactiae"
"3609","Consumption (import)","C00864","Mycoplasmopsis alligatoris"
"3610","Consumption (import)","C00864","Metamycoplasma arthritidis"
"3611","Consumption (import)","C00864","Mycoplasmopsis bovis"
"3612","Consumption (import)","C00864","Mycoplasma capricolum"
"3613","Consumption (import)","C00864","Mesomycoplasma conjunctivae"
"3614","Consumption (import)","C00864","Mycoplasma crocodyli"
"3615","Consumption (import)","C00864","Mycoplasmopsis fermentans"
"3616","Consumption (import)","C00864","Mycoplasmoides gallisepticum"
"3617","Consumption (import)","C00864","Mycoplasmoides genitalium"
"3618","Consumption (import)","C00864","Mycoplasma haemofelis"
"3619","Consumption (import)","C00864","Metamycoplasma hominis"
"3620","Consumption (import)","C00864","Mesomycoplasma hyopneumoniae"
"3621","Consumption (import)","C00864","Mesomycoplasma hyorhinis"
"3622","Consumption (import)","C00864","Mycoplasma leachii"
"3623","Consumption (import)","C00864","Mesomycoplasma mobile"
"3624","Consumption (import)","C00864","Mycoplasma mycoides"
"3625","Consumption (import)","C00864","Malacoplasma penetrans"
"3626","Consumption (import)","C00864","Mycoplasmoides pneumoniae"
"3627","Consumption (import)","C00864","Mycoplasmopsis pulmonis"
"3628","Consumption (import)","C00864","Mycoplasmopsis synoviae"
"3629","Consumption (import)","C00864","Neisseria gonorrhoeae"
"3630","Consumption (import)","C00864","Paenibacillus larvae"
"3631","Consumption (import)","C00864","Ruminococcus bromii"
"3632","Consumption (import)","C00864","Streptococcus agalactiae"
"3633","Consumption (import)","C00864","Streptococcus anginosus"
"3634","Consumption (import)","C00864","Streptococcus australis"
"3635","Consumption (import)","C00864","Streptococcus equinus"
"3636","Consumption (import)","C00864","Streptococcus cristatus"
"3637","Consumption (import)","C00864","Streptococcus downei"
"3638","Consumption (import)","C00864","Streptococcus dysgalactiae"
"3639","Consumption (import)","C00864","Streptococcus equi"
"3640","Consumption (import)","C00864","Streptococcus gallolyticus"
"3641","Consumption (import)","C00864","Streptococcus gordonii"
"3642","Consumption (import)","C00864","Streptococcus infantarius"
"3643","Consumption (import)","C00864","Streptococcus infantis"
"3644","Consumption (import)","C00864","Streptococcus mitis"
"3645","Consumption (import)","C00864","Streptococcus mutans"
"3646","Consumption (import)","C00864","Streptococcus oralis"
"3647","Consumption (import)","C00864","Streptococcus parasanguinis"
"3648","Consumption (import)","C00864","Streptococcus peroris"
"3649","Consumption (import)","C00864","Streptococcus pneumoniae"
"3650","Consumption (import)","C00864","Streptococcus pseudoporcinus"
"3651","Consumption (import)","C00864","Streptococcus pyogenes"
"3652","Consumption (import)","C00864","Streptococcus salivarius"
"3653","Consumption (import)","C00864","Streptococcus sanguinis"
"3654","Consumption (import)","C00864","Streptococcus suis"
"3655","Consumption (import)","C00864","Streptococcus thermophilus"
"3656","Consumption (import)","C00864","Streptococcus uberis"
"3657","Consumption (import)","C00864","Streptococcus vestibularis"
"3658","Macromolecule degradation","C00714","Acetobacter pasteurianus"
"3659","Macromolecule degradation","C00714","Gleimia coleocanis"
"3660","Macromolecule degradation","C00714","Schaalia odontolytica"
"3661","Macromolecule degradation","C00714","Actinomyces oris"
"3662","Macromolecule degradation","C00714","Actinomyces urogenitalis"
"3663","Macromolecule degradation","C00714","Actinomyces viscosus"
"3664","Macromolecule degradation","C00714","Actinosynnema mirum"
"3665","Macromolecule degradation","C00714","Bacteroides caccae"
"3666","Macromolecule degradation","C00714","Bacteroides fragilis"
"3667","Macromolecule degradation","C00714","Bacteroides ovatus"
"3668","Macromolecule degradation","C00714","Bacteroides thetaiotaomicron"
"3669","Macromolecule degradation","C00714","Phocaeicola vulgatus"
"3670","Macromolecule degradation","C00714","Bifidobacterium bifidum"
"3671","Macromolecule degradation","C00714","Bifidobacterium breve"
"3672","Macromolecule degradation","C00714","Bifidobacterium catenulatum"
"3673","Macromolecule degradation","C00714","Butyrivibrio fibrisolvens"
"3674","Macromolecule degradation","C00714","Butyrivibrio proteoclasticus"
"3675","Macromolecule degradation","C00714","Ruminiclostridium cellulolyticum"
"3676","Macromolecule degradation","C00714","Collinsella aerofaciens"
"3677","Macromolecule degradation","C00714","Lachnospira eligens"
"3678","Macromolecule degradation","C00714","Faecalibacterium prausnitzii"
"3679","Macromolecule degradation","C00714","Fibrobacter succinogenes"
"3680","Macromolecule degradation","C00714","Prevotella ruminicola"
"3681","Macromolecule degradation","C00714","Ruminococcus flavefaciens"
"3682","Macromolecule degradation","C00714","Streptomyces viridochromogenes"
"3683","Consumption (import)","C01601","Syntrophomonas wolfei"
"3684","Production (export)","C16834","Escherichia coli"
"3685","Consumption (import)","C16834","Pelotomaculum thermopropionicum"
"3687","Consumption (import)","C00146","Pseudodesulfovibrio aespoeensis"
"3688","Consumption (import)","C00146","Desulfovibrio desulfuricans"
"3689","Consumption (import)","C00146","Solidesulfovibrio fructosivorans"
"3690","Consumption (import)","C00146","Solidesulfovibrio magneticus"
"3691","Consumption (import)","C00146","Desulfovibrio piger"
"3692","Consumption (import)","C00146","Maridesulfovibrio salexigens"
"3693","Consumption (import)","C00146","Desulfovibrio vulgaris"
"3694","Consumption (import)","C00146","Geobacter metallireducens"
"3695","Production (export)","C07086","Bacteroides thetaiotaomicron"
"3696","Production (export)","C07086","Clostridium botulinum"
"3697","Production (export)","C07086","Acetoanaerobium sticklandii"
"3699","Consumption (import)","C07086","Geobacter metallireducens"
"3700","Consumption (import)","C07086","Methylobacterium nodulans"
"3701","Production (export)","C07086","Pyramidobacter piscolens"
"3702","Production (export)","C02455","Bacteroides ovatus"
"3703","Production (export)","C02455","Bacteroides thetaiotaomicron"
"3704","Production (export)","C02455","Bifidobacterium longum"
"3706","Consumption (import)","C02656","Acidovorax avenae"
"3707","Consumption (import)","C02656","Acidovorax delafieldii"
"3708","Consumption (import)","C02656","Corynebacterium diphtheriae"
"3709","Consumption (import)","C02656","Rhodospirillum rubrum"
"3710","Macromolecule degradation","C00403","Bacteroides fragilis"
"3711","Macromolecule degradation","C00403","Bacteroides thetaiotaomicron"
"3712","Macromolecule degradation","C00403","Phocaeicola vulgatus"
"3713","Macromolecule degradation","C00403","Butyrivibrio fibrisolvens"
"3714","Macromolecule degradation","C00403","Butyrivibrio proteoclasticus"
"3715","Macromolecule degradation","C00403","Clostridium botulinum"
"3716","Macromolecule degradation","C00403","Clostridium perfringens"
"3717","Macromolecule degradation","C00403","Clostridium sporogenes"
"3718","Macromolecule degradation","C00403","Enterococcus faecalis"
"3719","Macromolecule degradation","C00403","Lactobacillus delbrueckii"
"3720","Macromolecule degradation","C00403","Prevotella ruminicola"
"3721","Macromolecule degradation","C00403","Cutibacterium acnes"
"3722","Macromolecule degradation","C00403","Streptococcus equinus"
"3723","Macromolecule degradation","C00403","Veillonella parvula"
"3724","Production (export)","C00479","Clostridium butyricum"
"3725","Production (export)","C00163","Acidaminococcus fermentans"
"3726","Production (export)","C00163","Alistipes putredinis"
"3727","Production (export)","C00163","Anaerostipes caccae"
"3728","Production (export)","C00163","Bacteroides caccae"
"3729","Production (export)","C00163","Bacteroides cellulosilyticus"
"3730","Production (export)","C00163","Phocaeicola coprocola"
"3731","Production (export)","C00163","Phocaeicola coprophilus"
"3732","Production (export)","C00163","Phocaeicola dorei"
"3733","Production (export)","C00163","Bacteroides eggerthii"
"3734","Production (export)","C00163","Bacteroides finegoldii"
"3735","Production (export)","C00163","Bacteroides fragilis"
"3736","Production (export)","C00163","Bacteroides helcogenes"
"3737","Production (export)","C00163","Bacteroides intestinalis"
"3738","Production (export)","C00163","Bacteroides ovatus"
"3739","Production (export)","C00163","[Bacteroides] pectinophilus"
"3740","Production (export)","C00163","Phocaeicola plebeius"
"3741","Production (export)","C00163","Phocaeicola salanitronis"
"3742","Production (export)","C00163","Bacteroides stercoris"
"3743","Production (export)","C00163","Bacteroides thetaiotaomicron"
"3744","Production (export)","C00163","Bacteroides uniformis"
"3745","Production (export)","C00163","Phocaeicola vulgatus"
"3746","Production (export)","C00163","Bacteroides xylanisolvens"
"3747","Production (export)","C00163","Bifidobacterium longum"
"3748","Consumption (import)","C00163","Butyrivibrio crossotus"
"3749","Consumption (import)","C00163","Butyrivibrio fibrisolvens"
"3750","Consumption (import)","C00163","Butyrivibrio proteoclasticus"
"3751","Production (export)","C00163","Clostridium kluyveri"
"3752","Production (export)","C00163","Clostridium perfringens"
"3753","Production (export)","C00163","Acetoanaerobium sticklandii"
"3755","Consumption (import)","C00163","Comamonas testosteroni"
"3756","Production (export)","C00163","Coprococcus catus"
"3757","Production (export)","C00163","Coprococcus comes"
"3758","Consumption (import) & production (export)","C00163","Desulfobulbus propionicus"
"3759","Consumption (import)","C00163","Pseudodesulfovibrio aespoeensis"
"3760","Consumption (import)","C00163","Desulfovibrio desulfuricans"
"3761","Consumption (import)","C00163","Solidesulfovibrio fructosivorans"
"3762","Consumption (import)","C00163","Solidesulfovibrio magneticus"
"3763","Consumption (import)","C00163","Desulfovibrio piger"
"3764","Consumption (import)","C00163","Maridesulfovibrio salexigens"
"3765","Consumption (import)","C00163","Desulfovibrio vulgaris"
"3766","Production (export)","C00163","Dialister invisus"
"3767","Production (export)","C00163","Enterococcus faecalis"
"3768","Production (export)","C00163","[Eubacterium] rectale"
"3769","Production (export)","C00163","Faecalibacterium prausnitzii"
"3770","Production (export)","C00163","Fibrobacter succinogenes"
"3771","Consumption (import)","C00163","Geobacter metallireducens"
"3772","Production (export)","C00163","Megamonas hypermegale"
"3773","Production (export)","C00163","Megasphaera micronuciformis"
"3774","Production (export)","C00163","Odoribacter splanchnicus"
"3775","Production (export)","C00163","Pelobacter propionicus"
"3776","Consumption (import)","C00163","Pelotomaculum thermopropionicum"
"3777","Production (export)","C00163","Porphyromonas asaccharolytica"
"3778","Production (export)","C00163","Prevotella amnii"
"3779","Production (export)","C00163","Prevotella bergensis"
"3780","Production (export)","C00163","Prevotella bivia"
"3781","Production (export)","C00163","Prevotella bryantii"
"3782","Production (export)","C00163","Prevotella buccae"
"3783","Production (export)","C00163","Prevotella buccalis"
"3784","Production (export)","C00163","Prevotella copri"
"3785","Production (export)","C00163","Prevotella disiens"
"3786","Production (export)","C00163","Prevotella marshii"
"3787","Production (export)","C00163","Prevotella melaninogenica"
"3788","Production (export)","C00163","Prevotella multiformis"
"3789","Production (export)","C00163","Prevotella oralis"
"3790","Production (export)","C00163","Prevotella oris"
"3791","Consumption (import) & production (export)","C00163","Prevotella ruminicola"
"3792","Production (export)","C00163","Prevotella salivae"
"3793","Production (export)","C00163","Alloprevotella tannerae"
"3794","Production (export)","C00163","Prevotella timonensis"
"3795","Production (export)","C00163","Prevotella veroralis"
"3796","Production (export)","C00163","Cutibacterium acnes"
"3797","Production (export)","C00163","Propionibacterium freudenreichii"
"3798","Production (export)","C00163","Pyramidobacter piscolens"
"3799","Production (export)","C00163","Roseburia intestinalis"
"3800","Production (export)","C00163","Roseburia inulinivorans"
"3801","Production (export)","C00163","Blautia obeum"
"3802","Production (export)","C00163","Salmonella enterica"
"3803","Production (export)","C00163","Selenomonas artemidis"
"3804","Production (export)","C00163","Selenomonas flueggei"
"3805","Production (export)","C00163","Selenomonas noxia"
"3806","Production (export)","C00163","Selenomonas sputigena"
"3807","Consumption (import)","C00163","Syntrophobacter fumaroxidans"
"3808","Consumption (import)","C00163","Syntrophobotulus glycolicus"
"3809","Consumption (import) & production (export)","C00163","Syntrophomonas wolfei"
"3810","Consumption (import)","C00163","Syntrophothermus lipocalidus"
"3811","Consumption (import)","C00163","Syntrophus aciditrophicus"
"3812","Production (export)","C00163","Veillonella atypica"
"3813","Production (export)","C00163","Veillonella dispar"
"3814","Production (export)","C00163","Veillonella parvula"
"3815","Consumption (import)","C05979 ","Bilophila wadsworthia"
"3816","Consumption (import)","C05979 ","Clostridium kluyveri"
"3817","Consumption (import)","C05979 ","Geobacter metallireducens"
"3818","Consumption (import)","C05979 ","Moorella thermoacetica"
"3819","Consumption (import)","C05979 ","Syntrophotalea carbinolica"
"3820","Consumption (import)","C05979 ","Pelobacter propionicus"
"3821","Consumption (import)","C05979 ","Pelotomaculum thermopropionicum"
"3822","Production (export)","C05979 ","Roseburia inulinivorans"
"3823","Production (export)","C05979 ","Salmonella enterica"
"3824","Production (export)","C00134","Bacteroides fragilis"
"3825","Production (export)","C00134","Bacteroides ovatus"
"3826","Production (export)","C00134","Bacteroides thetaiotaomicron"
"3827","Production (export)","C00134","Campylobacter jejuni"
"3828","Production (export)","C00134","Lacrimispora saccharolytica"
"3830","Production (export)","C00134","Enterobacter cloacae"
"3831","Production (export)","C00134","Escherichia coli"
"3832","Production (export)","C00134","Lactobacillus acidophilus"
"3833","Consumption (import)","C00134","Pseudomonas aeruginosa"
"3834","Production (export)","C00134","Saccharolobus solfataricus"
"3835","Production (export)","C00134","Thermococcus kodakarensis"
"3836","Production (export)","C00134","Thermus thermophilus"
"3837","Production (export)","C00250, C00314, C00534","Bacillus subtilis"
"3838","Production (export)","C00250, C00314, C00534","Candidatus Baumannia cicadellinicola"
"3839","Production (export)","C00250, C00314, C00534","Bifidobacterium adolescentis"
"3840","Production (export)","C00250, C00314, C00534","Bifidobacterium bifidum"
"3841","Production (export)","C00250, C00314, C00534","Bifidobacterium breve"
"3842","Production (export)","C00250, C00314, C00534","Bifidobacterium longum"
"3843","Consumption (import)","C00250, C00314, C00534","Clostridium tetani"
"3845","Production (export)","C00250, C00314, C00534","Sinorhizobium meliloti"
"3846","Consumption (import)","C00250, C00314, C00534","Enterococcus faecalis"
"3847","Consumption (import)","C00250, C00314, C00534","Escherichia coli"
"3848","Consumption (import)","C00250, C00314, C00534","Lacticaseibacillus casei"
"3849","Consumption (import)","C00250, C00314, C00534","Lactobacillus delbrueckii"
"3850","Production (export)","C00250, C00314, C00534","Lactobacillus helveticus"
"3851","Consumption (import)","C00250, C00314, C00534","Lactococcus lactis"
"3852","Consumption (import)","C00250, C00314, C00534","Leuconostoc mesenteroides"
"3853","Consumption (import)","C00250, C00314, C00534","Neisseria gonorrhoeae"
"3854","Consumption (import)","C00250, C00314, C00534","Paenibacillus larvae"
"3855","Consumption (import)","C00250, C00314, C00534","Ruminococcus albus"
"3856","Consumption (import)","C00250, C00314, C00534","Ruminococcus bromii"
"3857","Consumption (import)","C00250, C00314, C00534","Shigella sonnei"
"3858","Production (export)","C00250, C00314, C00534","Sphaerobacter thermophilus"
"3859","Production (export)","C00250, C00314, C00534","Streptococcus thermophilus"
"3860","Consumption (import)","C00022","Acetohalobium arabaticum"
"3861","Consumption (import)","C00022","Aeromicrobium marinum"
"3862","Consumption (import)","C00022","Anaerotruncus colihominis"
"3863","Production (export)","C00022","Bacteroides thetaiotaomicron"
"3864","Consumption (import)","C00022","Bilophila wadsworthia"
"3865","Consumption (import)","C00022","Blautia hydrogenotrophica"
"3866","Consumption (import)","C00022","Clostridium acetobutylicum"
"3867","Production (export)","C00022","Ruminiclostridium cellulolyticum"
"3869","Consumption (import)","C00022","Pseudodesulfovibrio aespoeensis"
"3870","Consumption (import)","C00022","Desulfovibrio desulfuricans"
"3871","Consumption (import)","C00022","Solidesulfovibrio fructosivorans"
"3872","Consumption (import)","C00022","Solidesulfovibrio magneticus"
"3873","Consumption (import)","C00022","Desulfovibrio piger"
"3874","Consumption (import)","C00022","Maridesulfovibrio salexigens"
"3875","Consumption (import)","C00022","Desulfovibrio vulgaris"
"3876","Consumption (import)","C00022","Dorea formicigenerans"
"3877","Consumption (import)","C00022","Geobacter metallireducens"
"3878","Consumption (import)","C00022","Methanosarcina acetivorans"
"3879","Consumption (import)","C00022","Methanosarcina barkeri"
"3880","Consumption (import)","C00022","Methanosarcina mazei"
"3881","Consumption (import)","C00022","Moorella thermoacetica"
"3882","Consumption (import)","C00022","Pelobacter propionicus"
"3883","Consumption (import)","C00022","Pelotomaculum thermopropionicum"
"3884","Consumption (import)","C00022","Pyrococcus abyssi"
"3885","Consumption (import)","C00022","Pyrococcus furiosus"
"3886","Consumption (import)","C00022","Shewanella putrefaciens"
"3887","Consumption (import)","C00022","Syntrophobacter fumaroxidans"
"3888","Consumption (import)","C00022","Veillonella parvula"
"3889","Consumption (import)","C00022","Xanthomonas campestris"
"3890","Consumption (import)","C00492","Aeromonas hydrophila"
"3891","Consumption (import)","C00492","Alistipes shahii"
"3892","Consumption (import)","C00492","Anaerococcus hydrogenalis"
"3893","Consumption (import)","C00492","Anaerococcus prevotii"
"3894","Consumption (import)","C00492","Bacteroides fragilis"
"3895","Consumption (import)","C00492","Bacteroides thetaiotaomicron"
"3896","Consumption (import)","C00492","Bacteroides xylanisolvens"
"3897","Consumption (import)","C00492","Bifidobacterium adolescentis"
"3898","Consumption (import)","C00492","Bifidobacterium angulatum"
"3899","Consumption (import)","C00492","Bifidobacterium animalis"
"3900","Consumption (import)","C00492","Bifidobacterium bifidum"
"3901","Consumption (import)","C00492","Bifidobacterium breve"
"3902","Consumption (import)","C00492","Bifidobacterium catenulatum"
"3903","Consumption (import)","C00492","Bifidobacterium dentium"
"3904","Consumption (import)","C00492","Bifidobacterium gallicum"
"3905","Consumption (import)","C00492","Bifidobacterium longum"
"3906","Consumption (import)","C00492","Bifidobacterium pseudocatenulatum"
"3907","Consumption (import)","C00492","Blautia hansenii"
"3908","Consumption (import)","C00492","Blautia hydrogenotrophica"
"3909","Consumption (import)","C00492","Butyrivibrio fibrisolvens"
"3910","Consumption (import)","C00492","Butyrivibrio proteoclasticus"
"3911","Consumption (import)","C00492","Clostridioides difficile"
"3912","Consumption (import)","C00492","Collinsella aerofaciens"
"3913","Consumption (import)","C00492","Coprococcus comes"
"3914","Consumption (import)","C00492","Coprococcus eutactus"
"3915","Consumption (import)","C00492","[Eubacterium] rectale"
"3916","Consumption (import)","C00492","Holdemania filiformis"
"3917","Consumption (import)","C00492","Klebsiella pneumoniae"
"3918","Consumption (import)","C00492","Lactobacillus acidophilus"
"3919","Consumption (import)","C00492","Leptotrichia buccalis"
"3920","Consumption (import)","C00492","Marvinbryantia formatexigens"
"3921","Consumption (import)","C00492","Megamonas hypermegale"
"3922","Consumption (import)","C00492","Parabacteroides distasonis"
"3923","Consumption (import)","C00492","Parabacteroides merdae"
"3924","Consumption (import)","C00492","Prevotella copri"
"3925","Consumption (import)","C00492","Roseburia intestinalis"
"3926","Consumption (import)","C00492","Blautia obeum"
"3927","Consumption (import)","C00492","Subdoligranulum variabile"
"3931","Consumption (import) & production (export)","C00255 ","Bacillus subtilis"
"3932","Production (export)","C00255 ","Candidatus Baumannia cicadellinicola"
"3933","Consumption (import)","C00255 ","Bifidobacterium bifidum"
"3934","Consumption (import)","C00255 ","Buchnera aphidicola"
"3935","Consumption (import)","C00255 ","Clostridium tetani"
"3937","Consumption (import)","C00255 ","Erysipelothrix rhusiopathiae"
"3938","Production (export)","C00255 ","Escherichia coli"
"3939","Consumption (import)","C00255 ","Faecalibacterium prausnitzii"
"3940","Production (export)","C00255 ","Klebsiella pneumoniae"
"3941","Consumption (import)","C00255 ","Lactobacillus acidophilus"
"3942","Consumption (import)","C00255 ","Lacticaseibacillus casei"
"3943","Consumption (import)","C00255 ","Lactobacillus delbrueckii"
"3944","Production (export)","C00255 ","Limosilactobacillus fermentum"
"3945","Consumption (import)","C00255 ","Lactobacillus helveticus"
"3946","Consumption (import) & production (export)","C00255 ","Lactiplantibacillus plantarum"
"3947","Consumption (import) & production (export)","C00255 ","Lactococcus lactis"
"3948","Consumption (import) & production (export)","C00255 ","Leuconostoc mesenteroides"
"3949","Consumption (import)","C00255 ","Listeria monocytogenes"
"3950","Production (export)","C00255 ","Methanocaldococcus jannaschii"
"3951","Consumption (import)","C00255 ","Paenibacillus larvae"
"3952","Production (export)","C00255 ","Propionibacterium freudenreichii"
"3953","Consumption (import)","C00255 ","Ruminococcus bromii"
"3954","Consumption (import)","C00255 ","Streptococcus pyogenes"
"3955","Consumption (import)","C00255 ","Streptococcus salivarius"
"3956","Consumption (import)","C00255 ","Streptococcus thermophilus"
"3957","Consumption (import)","C00493","Priestia megaterium"
"3958","Production (export)","C00315","Bacteroides thetaiotaomicron"
"3959","Consumption (import) & production (export)","C00315","Campylobacter jejuni"
"3960","Production (export)","C00315","Lacrimispora saccharolytica"
"3962","Consumption (import)","C00315","Prevotella ruminicola"
"3963","Production (export)","C00315","Thermococcus kodakarensis"
"3964","Production (export)","C00315","Thermus thermophilus"
"3965","Production (export)","C00750","Campylobacter jejuni"
"3966","Production (export)","C00750","Lacrimispora saccharolytica"
"3968","Consumption (import)","C01613","Clostridioides difficile"
"3969","Consumption (import)","C01613","Klebsiella pneumoniae"
"3970","Consumption (import)","C01613","Marvinbryantia formatexigens"
"3971","Macromolecule degradation","C00317, C00369, C00480, C00718","Bacteroides eggerthii"
"3972","Macromolecule degradation","C00317, C00369, C00480, C00718","Bacteroides fragilis"
"3973","Macromolecule degradation","C00317, C00369, C00480, C00718","Bacteroides ovatus"
"3974","Macromolecule degradation","C00317, C00369, C00480, C00718","Bacteroides thetaiotaomicron"
"3975","Macromolecule degradation","C00317, C00369, C00480, C00718","Phocaeicola vulgatus"
"3976","Macromolecule degradation","C00317, C00369, C00480, C00718","Bifidobacterium adolescentis"
"3977","Macromolecule degradation","C00317, C00369, C00480, C00718","Bifidobacterium angulatum"
"3978","Macromolecule degradation","C00317, C00369, C00480, C00718","Bifidobacterium animalis"
"3979","Macromolecule degradation","C00317, C00369, C00480, C00718","Bifidobacterium bifidum"
"3980","Macromolecule degradation","C00317, C00369, C00480, C00718","Bifidobacterium breve"
"3981","Macromolecule degradation","C00317, C00369, C00480, C00718","Bifidobacterium catenulatum"
"3982","Macromolecule degradation","C00317, C00369, C00480, C00718","Bifidobacterium dentium"
"3983","Macromolecule degradation","C00317, C00369, C00480, C00718","Bifidobacterium gallicum"
"3984","Macromolecule degradation","C00317, C00369, C00480, C00718","Bifidobacterium longum"
"3985","Macromolecule degradation","C00317, C00369, C00480, C00718","Bifidobacterium pseudocatenulatum"
"3986","Macromolecule degradation","C00317, C00369, C00480, C00718","Butyrivibrio crossotus"
"3987","Macromolecule degradation","C00317, C00369, C00480, C00718","Butyrivibrio fibrisolvens"
"3988","Macromolecule degradation","C00317, C00369, C00480, C00718","Butyrivibrio proteoclasticus"
"3989","Macromolecule degradation","C00317, C00369, C00480, C00718","Catenibacterium mitsuokai"
"3990","Macromolecule degradation","C00317, C00369, C00480, C00718","Clostridium butyricum"
"3991","Macromolecule degradation","C00317, C00369, C00480, C00718","Collinsella aerofaciens"
